"Date","Metric 2","Metric 1"
"1969-07-01",100.98,103.06
"1969-08-01",100.22,102.9
"1969-09-01",99.27,102.58
"1969-10-01",98.14,102.08
"1969-11-01",96.79,101.42
"1969-12-01",95.3,100.65
"1970-01-01",93.88,99.86
"1970-02-01",92.8,99.13
"1970-03-01",92.17,98.48
"1970-04-01",91.99,97.9
"1970-05-01",92.19,97.37
"1970-06-01",92.6,96.86
"1970-07-01",93.06,96.33
"1970-08-01",93.36,95.78
"1970-09-01",93.5,95.23
"1970-10-01",93.66,94.75
"1970-11-01",94.1,94.46
"1970-12-01",94.93,94.37
"1971-01-01",96.01,94.39
"1971-02-01",97.22,94.44
"1971-03-01",98.46,94.49
"1971-04-01",99.56,94.54
"1971-05-01",100.26,94.58
"1971-06-01",100.53,94.62
"1971-07-01",100.63,94.69
"1971-08-01",100.9,94.86
"1971-09-01",101.51,95.2
"1971-10-01",102.47,95.7
"1971-11-01",103.75,96.33
"1971-12-01",105.29,97.09
"1972-01-01",106.88,97.89
"1972-02-01",108.13,98.64
"1972-03-01",108.74,99.27
"1972-04-01",108.71,99.77
"1972-05-01",108.12,100.17
"1972-06-01",107.21,100.53
"1972-07-01",106.3,100.93
"1972-08-01",105.77,101.45
"1972-09-01",105.72,102.07
"1972-10-01",106.14,102.79
"1972-11-01",106.86,103.55
"1972-12-01",107.58,104.27
"1973-01-01",108.02,104.9
"1973-02-01",107.97,105.41
"1973-03-01",107.36,105.76
"1973-04-01",106.32,105.99
"1973-05-01",105.08,106.14
"1973-06-01",103.85,106.26
"1973-07-01",102.8,106.36
"1973-08-01",102,106.46
"1973-09-01",101.52,106.56
"1973-10-01",101.2,106.62
"1973-11-01",100.83,106.59
"1973-12-01",100.34,106.44
"1974-01-01",99.72,106.21
"1974-02-01",99.07,105.97
"1974-03-01",98.47,105.74
"1974-04-01",97.98,105.54
"1974-05-01",97.62,105.31
"1974-06-01",97.23,104.95
"1974-07-01",96.59,104.38
"1974-08-01",95.43,103.51
"1974-09-01",93.57,102.29
"1974-10-01",90.98,100.67
"1974-11-01",87.87,98.71
"1974-12-01",84.78,96.64
"1975-01-01",82.3,94.69
"1975-02-01",80.81,93.05
"1975-03-01",80.62,91.84
"1975-04-01",81.91,91.11
"1975-05-01",84.64,90.81
"1975-06-01",88.48,90.9
"1975-07-01",92.9,91.27
"1975-08-01",97.38,91.83
"1975-09-01",101.37,92.47
"1975-10-01",104.49,93.13
"1975-11-01",106.65,93.79
"1975-12-01",107.92,94.43
"1976-01-01",108.38,95.02
"1976-02-01",108.19,95.51
"1976-03-01",107.52,95.88
"1976-04-01",106.6,96.15
"1976-05-01",105.53,96.35
"1976-06-01",104.43,96.5
"1976-07-01",103.47,96.66
"1976-08-01",102.83,96.85
"1976-09-01",102.55,97.1
"1976-10-01",102.65,97.42
"1976-11-01",103.1,97.83
"1976-12-01",103.75,98.29
"1977-01-01",104.48,98.8
"1977-02-01",105.28,99.38
"1977-03-01",106,99.97
"1977-04-01",106.48,100.52
"1977-05-01",106.56,100.98
"1977-06-01",106.25,101.32
"1977-07-01",105.56,101.51
"1977-08-01",104.48,101.58
"1977-09-01",103.18,101.55
"1977-10-01",101.85,101.45
"1977-11-01",100.66,101.32
"1977-12-01",99.82,101.23
"1978-01-01",99.48,101.25
"1978-02-01",99.82,101.49
"1978-03-01",100.77,101.94
"1978-04-01",102.08,102.5
"1978-05-01",103.44,103.04
"1978-06-01",104.59,103.52
"1978-07-01",105.33,103.91
"1978-08-01",105.51,104.24
"1978-09-01",105.18,104.54
"1978-10-01",104.58,104.82
"1978-11-01",103.92,105.05
"1978-12-01",103.24,105.18
"1979-01-01",102.53,105.22
"1979-02-01",101.8,105.18
"1979-03-01",101,105.07
"1979-04-01",100.15,104.9
"1979-05-01",99.39,104.72
"1979-06-01",98.78,104.54
"1979-07-01",98.37,104.36
"1979-08-01",98.15,104.2
"1979-09-01",98.17,104.1
"1979-10-01",98.35,104.03
"1979-11-01",98.51,103.94
"1979-12-01",98.51,103.76
"1980-01-01",98.19,103.41
"1980-02-01",97.35,102.81
"1980-03-01",95.9,101.94
"1980-04-01",94.04,100.89
"1980-05-01",92.23,99.83
"1980-06-01",91.02,98.99
"1980-07-01",90.8,98.54
"1980-08-01",91.84,98.52
"1980-09-01",94.1,98.89
"1980-10-01",97.23,99.48
"1980-11-01",100.59,100.12
"1980-12-01",103.41,100.66
"1981-01-01",105.14,101.04
"1981-02-01",105.71,101.3
"1981-03-01",105.34,101.49
"1981-04-01",104.44,101.66
"1981-05-01",103.44,101.83
"1981-06-01",102.55,101.94
"1981-07-01",101.76,101.92
"1981-08-01",100.84,101.72
"1981-09-01",99.61,101.3
"1981-10-01",98.09,100.69
"1981-11-01",96.37,99.96
"1981-12-01",94.73,99.22
"1982-01-01",93.44,98.52
"1982-02-01",92.7,97.93
"1982-03-01",92.39,97.36
"1982-04-01",92.38,96.77
"1982-05-01",92.55,96.17
"1982-06-01",92.73,95.54
"1982-07-01",92.79,94.91
"1982-08-01",92.65,94.27
"1982-09-01",92.56,93.67
"1982-10-01",92.67,93.16
"1982-11-01",93.11,92.79
"1982-12-01",93.99,92.63
"1983-01-01",95.37,92.68
"1983-02-01",97.18,92.93
"1983-03-01",99.35,93.36
"1983-04-01",101.71,93.95
"1983-05-01",104.07,94.66
"1983-06-01",106.22,95.46
"1983-07-01",108.02,96.33
"1983-08-01",109.45,97.22
"1983-09-01",110.38,98.09
"1983-10-01",110.79,98.89
"1983-11-01",110.77,99.63
"1983-12-01",110.44,100.32
"1984-01-01",109.87,100.97
"1984-02-01",109.06,101.53
"1984-03-01",108.1,101.98
"1984-04-01",107.06,102.32
"1984-05-01",105.95,102.55
"1984-06-01",104.73,102.67
"1984-07-01",103.4,102.67
"1984-08-01",102.09,102.59
"1984-09-01",100.89,102.44
"1984-10-01",99.87,102.26
"1984-11-01",99.07,102.07
"1984-12-01",98.48,101.88
"1985-01-01",98.09,101.69
"1985-02-01",97.87,101.49
"1985-03-01",97.75,101.28
"1985-04-01",97.64,101.05
"1985-05-01",97.52,100.8
"1985-06-01",97.42,100.56
"1985-07-01",97.37,100.34
"1985-08-01",97.44,100.18
"1985-09-01",97.63,100.07
"1985-10-01",97.93,99.99
"1985-11-01",98.31,99.95
"1985-12-01",98.65,99.88
"1986-01-01",98.79,99.73
"1986-02-01",98.61,99.48
"1986-03-01",98.19,99.16
"1986-04-01",97.7,98.84
"1986-05-01",97.21,98.54
"1986-06-01",96.87,98.3
"1986-07-01",96.82,98.13
"1986-08-01",97.13,98.04
"1986-09-01",97.74,98.03
"1986-10-01",98.54,98.11
"1986-11-01",99.43,98.26
"1986-12-01",100.33,98.46
"1987-01-01",101.14,98.69
"1987-02-01",101.89,98.97
"1987-03-01",102.5,99.25
"1987-04-01",102.99,99.57
"1987-05-01",103.39,99.91
"1987-06-01",103.73,100.28
"1987-07-01",104.07,100.68
"1987-08-01",104.37,101.11
"1987-09-01",104.66,101.54
"1987-10-01",104.88,101.97
"1987-11-01",104.91,102.34
"1987-12-01",104.71,102.62
"1988-01-01",104.28,102.81
"1988-02-01",103.67,102.95
"1988-03-01",102.96,103.03
"1988-04-01",102.2,103.08
"1988-05-01",101.51,103.1
"1988-06-01",100.97,103.11
"1988-07-01",100.6,103.12
"1988-08-01",100.36,103.13
"1988-09-01",100.22,103.14
"1988-10-01",100.16,103.17
"1988-11-01",100.14,103.18
"1988-12-01",100.08,103.15
"1989-01-01",99.89,103.06
"1989-02-01",99.54,102.9
"1989-03-01",99.06,102.66
"1989-04-01",98.44,102.36
"1989-05-01",97.77,102.02
"1989-06-01",97.18,101.69
"1989-07-01",96.8,101.4
"1989-08-01",96.74,101.2
"1989-09-01",96.94,101.08
"1989-10-01",97.42,101.03
"1989-11-01",98.14,101.07
"1989-12-01",98.97,101.16
"1990-01-01",99.79,101.3
"1990-02-01",100.51,101.46
"1990-03-01",101.07,101.62
"1990-04-01",101.38,101.73
"1990-05-01",101.41,101.78
"1990-06-01",101.15,101.74
"1990-07-01",100.6,101.6
