"Date","Crude Supply","Gasoline Supply","Jet Fuel Supply","Distillate Supply"
"3/8/1991",25.6,32.3,30.1,32.9
"3/15/1991",26.1,31.2,29.8,30.1
"3/22/1991",26.4,29.8,28.8,30.1
"3/29/1991",27.1,30.4,29.9,29.8
"4/5/1991",26.7,29.1,29.7,30.1
"4/12/1991",27,28.8,30.2,32.7
"4/19/1991",26.7,29,30.1,33.6
"4/26/1991",26.8,28.9,29.8,35.6
"5/3/1991",26.2,29.8,30.4,36.7
"5/10/1991",25.9,29.6,31.3,36.9
"5/17/1991",26.2,30.2,31.3,36.2
"5/24/1991",26.1,30,33.1,35.8
"5/31/1991",26.3,30,34.6,39.4
"6/7/1991",26.2,30.2,33.7,39.3
"6/14/1991",25.9,29.8,33.2,40.9
"6/21/1991",25.6,29.4,35.3,42.4
"6/28/1991",25.4,29,33.4,39.5
"7/5/1991",25.5,27.9,34.9,39.6
"7/12/1991",25.7,27.9,32.9,44.8
"7/19/1991",25.6,28.3,32,43
"7/26/1991",25.4,28.1,31.3,45.5
"8/2/1991",25.4,28.3,30.9,47
"8/9/1991",25.4,27.7,30.6,44.6
"8/16/1991",25.4,27.6,30.6,45.1
"8/23/1991",25.7,27.9,31.8,45
"8/30/1991",25.7,28.2,31.6,45.4
"9/6/1991",24.8,29.3,32.8,46.3
"9/13/1991",24.2,29.4,33.9,47.9
"9/20/1991",24.2,29.4,34.4,48.7
"9/27/1991",24.8,29.8,35.5,48.3
"10/4/1991",25,30.1,36.2,45.2
"10/11/1991",25.5,29.6,34.7,44.4
"10/18/1991",25.7,29,33.3,43.1
"10/25/1991",26.7,28.1,31.7,43.1
"11/1/1991",26.7,27.7,32,45.3
"11/8/1991",27.4,27.2,33.5,43.5
"11/15/1991",27.9,27.1,33.8,44.5
"11/22/1991",27.1,28.5,30.7,44.9
"11/29/1991",26.6,29.4,33.1,46
"12/6/1991",26.8,30.7,32,48.3
"12/13/1991",26,31.2,31.1,47.7
"12/20/1991",25.6,30.5,31.6,44.9
"12/27/1991",24.6,30.2,32.6,45.1
"1/3/1992",24.8,31.1,33,44.3
