MMM ,3M Company ,Industrials,
ABT ,Abbott Labs ,Health Care,
ANF ,Abercrombie & Fitch Co. ,Consumer Discretionary,
ADBE ,Adobe Systems ,Information Technology,
AMD ,Advanced Micro Devices ,Information Technology,
AES ,AES Corp. ,Utilities,
AET ,Aetna Inc. ,Health Care,
ACS ,Affiliated Computer ,Information Technology,
AFL ,AFLAC Inc. ,Financials,
A ,Agilent Technologies ,Information Technology,
APD ,Air Products & Chemicals ,Materials,
AKAM ,Akamai Technologies Inc ,Information Technology,
AKS ,AK Steel Holding Corp. ,Materials,
AA ,Alcoa Inc ,Materials,
AYE ,Allegheny Energy ,Utilities,
ATI ,Allegheny Technologies Inc ,Materials,
AGN ,Allergan Inc. ,Health Care,
AW ,Allied Waste Industries ,Industrials,
ALL ,Allstate Corp. ,Financials,
ALTR ,Altera Corp. ,Information Technology,
MO ,Altria Group Inc. ,Consumer Staples,
AMZN ,Amazon Corp. ,Consumer Discretionary,
AEE ,Ameren Corporation ,Utilities,
ACAS ,American Capital Strategies Ltd ,Financials,
AEP ,American Electric Power ,Utilities,
AXP ,American Express ,Financials,
AIG ,American Int'l. Group ,Financials,
AMT ,American Tower Corp. ,Telecommunications Services,
AMP ,Ameriprise Financial Inc. ,Financials,
ABC ,AmerisourceBergen Corp. ,Health Care,
AMGN ,Amgen ,Health Care,
APC ,Anadarko Petroleum ,Energy,
ADI ,Analog Devices ,Information Technology,
AOC ,Aon Corp. ,Financials,
APA ,Apache Corp. ,Energy,
AIV ,Apartment Investment & MgmtA ,Financials,
APOL ,Apollo Group ,Consumer Discretionary,
AAPL ,Apple Inc. ,Information Technology,
ABI ,Applera Corp-Applied Biosystems Group ,Health Care,
AMAT ,Applied Materials ,Information Technology,
ADM ,Archer-Daniels-Midland ,Consumer Staples,
ASH ,Ashland Inc. ,Materials,
AIZ ,Assurant Inc ,Financials,
T ,AT&T Inc. ,Telecommunications Services,
ADSK ,Autodesk Inc. ,Information Technology,
ADP ,Automatic Data Processing Inc. ,Information Technology,
AN ,AutoNation Inc. ,Consumer Discretionary,
AZO ,AutoZone Inc. ,Consumer Discretionary,
AVB ,AvalonBay Communities ,Financials,
