MMM ,3M Company ,Industrials,
AMGN ,Amgen ,Health Care,
APC ,Anadarko Petroleum ,Energy,
AAPL ,Apple Inc. ,Information Technology,
ABI ,Applera Corp-Applied Biosystems Group ,Health Care,
AMAT ,Applied Materials ,Information Technology,
ADM ,Archer-Daniels-Midland ,Consumer Staples,
T ,AT&T Inc. ,Telecommunications Services,
BBBY ,Bed Bath & Beyond ,Consumer Discretionary,
BBY ,Best Buy Co. Inc. ,Consumer Discretionary,
BA ,Boeing Company ,Industrials,
BXP ,Boston Properties ,Financials,
BSX ,Boston Scientific ,Health Care,
BMY ,Bristol-Myers Squibb ,Health Care,
BRCM ,Broadcom Corporation ,Information Technology,
BF.B ,Brown-Forman Corp. ,Consumer Staples,
BNI ,Burlington Northern Santa Fe C ,Industrials,
CTX ,Centex Corp. ,Consumer Discretionary,
KO ,Coca Cola Co. ,Consumer Staples,
CCE ,Coca-Cola Enterprises ,Consumer Staples,
CTSH ,Cognizant Technology Solutions ,Information Technology,
CL ,Colgate-Palmolive ,Consumer Staples,
CMCSA ,Comcast Corp. ,Consumer Discretionary,
CMA ,Comerica Inc. ,Financials,
CSC ,Computer Sciences Corp. ,Information Technology,
CPWR ,Compuware Corp. ,Information Technology,
GNW ,Genworth Financial Inc. ,Financials,
GENZ ,Genzyme Corp. ,Health Care,
GILD ,Gilead Sciences ,Health Care,
GS ,Goldman Sachs Group ,Financials,
GR ,Goodrich Corporation ,Industrials,
GT ,Goodyear Tire & Rubber ,Consumer Discretionary,
GOOG ,Google Inc. ,Information Technology,
